name,BestMCC,ObjatBestMCC,TimeatBestMCC,BestObj,TimeatBestObj,MFEatBestMCC,MFEatBestObj,MCCatBestObj,TP,TN,FN,FP,PostProcessMCC,MinDist,Backtracks,Repeat,TimeLimit,Vars
ASE_00001,0.58,3316,60.3,3337,60.4,-76.7,-75.5,0.549,123,85,23,31,0.503,4,426.9,2,60,4269
ASE_00002,0.474,2860,59.4,2860,59.4,-58.4,-58.4,0.474,108,89,32,38,0.431,4,386.3,2,60,3863
ASE_00003,0.4,2920,11.0,3091,56.0,-69.1,-78.7,0.398,127,81,43,43,0.39,4,521.2,2,60,5212
ASE_00004,0.301,2506,2.1,3081,60.3,-47.9,-89.1,0.177,121,81,67,41,0.171,4,620.6,2,60,6206
ASE_00005,0.303,-100,60.8,3762,60.8,-94.1,-98.1,0.275,168,65,52,56,0.303,4,794.8,2,60,7948
ASE_00006,0.273,2623,2.5,3041,60.2,-54.5,-66.1,0.236,123,76,61,49,0.257,4,647.8,2,60,6478
ASE_00007,0.341,2792,31.6,3176,60.2,-51.0,-83.2,0.308,146,88,68,44,0.3,4,711.1,2,60,7111
ASE_00008,0.466,3087,60.8,3087,60.8,-72.1,-72.1,0.466,159,95,57,33,0.415,4,722.9,2,60,7229
ASE_00009,0.627,2820,32.3,2820,32.3,-82.7,-82.7,0.627,110,77,18,24,0.591,4,313.3,2,60,3133
ASE_00010,0.382,1892,1.8,2893,39.1,-12.5,-28.2,0.126,104,114,56,42,0.101,4,663.9,2,60,6639
ASE_00011,0.368,2868,25.5,3201,60.6,-70.1,-75.8,0.317,118,84,52,40,0.319,4,540.5,2,60,5405
ASE_00012,0.184,3135,11.1,3418,42.2,-41.7,-38.1,0.134,149,82,93,61,0.125,4,1093.7,2,60,10937
ASE_00013,0.466,2775,23.9,3052,60.1,-68.3,-75.4,0.403,124,92,46,32,0.382,4,509.5,2,60,5095
ASE_00014,0.501,3703,21.3,4239,61.1,-111.6,-129.5,0.437,157,93,49,31,0.399,4,715.4,2,60,7154
ASE_00015,0.379,-100,60.6,2975,60.6,-50.9,-65.1,0.372,133,73,37,51,0.379,4,531.6,2,60,5316
ASE_00016,0.121,3787,21.0,4283,61.8,-54.3,-72.4,0.025,82,106,36,140,0.015,4,1123.6,2,60,11236
ASE_00017,0.295,2534,39.5,2534,39.5,-20.5,-20.5,0.295,78,120,24,98,0.277,4,687.5,2,60,6875
ASE_00018,0.316,3074,5.1,4009,61.9,-68.5,-107.3,0.257,169,95,97,41,0.224,4,1028.9,2,60,10289
ASE_00019,0.413,3098,60.4,3098,60.4,-78.9,-78.9,0.413,129,81,41,43,0.393,4,505.8,2,60,5058
